DBSCAN_Cluster,Government Debt,Core PCE Price Index,Core Consumer Prices,Wages,Corruption Rank,Price to Rent Ratio,Money Supply M0,Military Expenditure,Interbank Rate,Government Bond 10Y,Consumer Price Index CPI,GDP from Public Administration,Foreign Exchange Reserves,Mining Production,PCE Price Index,Pending Home Sales,Crude Oil Production,Disposable Personal Income,Foreign Direct Investment,Mortgage Originations
39,-1.1876392296776503,-0.9623930376377944,-0.9711967004810961,-0.9648928952366777,-0.7891373566516963,0.3174415797186894,-1.416998538242499,-0.44626458131311914,0.5016978103659265,0.5927817125849808,-0.8786527492894164,-0.6257651968674077,1.3566773298336263,-0.014160660617154243,-0.8963351647923464,-1.5390664278343538,-1.1121268220124518,-0.9431908859516398,-0.7961276839883115,-0.4676876466337735
40,-1.1958749170534158,-0.9572344998751544,-0.9663832247502565,-0.9563103856775907,-0.7891373566516964,0.04958154526292236,-1.418707776524892,-0.44626458131311914,0.5172685335164048,0.7420837921423448,-0.8331927024990382,-0.5464220631843394,1.1092877715393663,0.020330281554564074,-0.8798292935998107,-0.8679359364388423,-1.1153233294212952,-0.9495175744823584,-0.3078747685706183,0.01645103526728097
41,-1.1943327747498638,-0.9411519997916321,-0.9534556042160031,-0.9362845300397221,-0.7891373566516964,0.04958154526292236,-1.4159607864281887,-0.44626458131311914,0.46302313427122876,0.9417860094868261,-0.769689054125453,-0.5464220631843394,1.0962886486076484,-0.0946395256844969,-0.8414833367439809,-0.9877806670451836,-1.128464526546541,-0.7669437135509759,-0.3078747685706183,0.01645103526728097
42,-1.1801751621611163,-0.9208212921388752,-0.9366772030970785,-0.9191195109215494,-0.7891373566516963,0.04958154526292237,-1.4126033540877736,-0.44626458131311914,0.5015160287630188,1.1335706287144456,-0.6930564038216739,-0.5464220631843394,1.170627382873411,0.05482122372628234,-0.7763656619783079,-0.7960290980750374,-1.1302403639958984,-0.8317656158171323,-0.3078747685706183,0.01645103526728097
43,-1.167352691988351,-0.904839939854619,-0.9180765575943365,-0.9019544918033757,-0.7891373566516964,-0.20211255008027904,-1.408452346830533,-0.4462645813131192,0.5160099112145817,1.0336515320350779,-0.652721582383725,-0.4821060381533676,1.0641970638699694,0.3537427225478407,-0.7342958195485518,-0.34061912177094045,-1.1163888318909099,-0.8690559665534016,-0.9802695746746951,-0.7422378799570916
44,-1.1590843565189861,-0.8939159775337363,-0.9033610746457716,-0.879067799645812,-0.7891373566516963,-0.20211255008027904,-1.408086081484306,-0.44626458131311914,0.5235858515385837,0.9492948137960417,-0.6835431430647682,-0.4821060381533676,0.6910816134704985,0.1697910309653433,-0.741642945140352,0.4583457489380018,-1.1781879751285516,-0.8912805283641168,-0.9802695746746951,-0.7422378799570917
45,-1.1070984404206825,-0.884812675599666,-0.892358844403854,-0.8733461266064212,-0.7891373566516964,-0.20211255008027906,-1.3701776181498,-0.44626458131311914,0.6930846274836948,0.7697482395606514,-0.6941797408852203,-0.48210603815336756,0.5639339422946308,-1.2098466559033882,-0.7340945284364483,0.48231469505927005,-1.54365532220633,-0.8803277039282034,-0.9802695746746951,-0.7422378799570916
46,-1.0317377238969234,-0.8974561505080965,-0.8897801966909041,-0.8590419440079435,-0.7891373566516964,-0.4425862544390743,-1.2317903615003238,-0.4462645813131191,1.17111573192579,0.8910692224370523,-0.7717602068363658,-0.5638535092207719,0.29217102850339943,-0.24410027509527615,-0.7940792798434682,-0.33262947306385104,-1.2723073599445005,-0.8772948671899193,-1.1798489246178696,-1.1667781700168263
47,-1.0197922254148368,-0.9014009146795269,-0.8843134635394515,-0.8418769248897707,-0.7891373566516964,-0.4425862544390743,-1.045056079148869,-0.4462645813131191,0.240045851672927,0.5933443409296019,-0.9173727736985171,-0.5638535092207719,0.43069293224452043,-0.11763348713230908,-0.9005622781465326,-0.6042775291048913,-1.1515504133881889,-0.8887469422384981,-1.1798489246178696,-1.1667781700168263
48,-1.0144930831637946,-0.9057502700480261,-0.885069866868583,-0.8218510692519021,-0.7891373566516964,-0.44258625443907423,-0.9082559723330434,-0.44626458131311914,0.15109742505066823,-0.16363988521157696,-0.9944968839675977,-0.5638535092207719,1.1647371552949763,-0.4280519666777737,-0.9503818283922958,0.31453207221039214,-1.1426712261414012,-0.923985556458204,-1.1798489246178696,-1.1667781700168263
